User ID,User Name,Messages
U000,User_0,Hello! I'm User_0. I graduated from Cambridge with a major in Biochemistry. I've led projects at Adobe focusing on UX/UI Design.
U001,User_1,My name is User_1. I have a degree in Chemistry. I've worked at Google for 10 years. My expertise is in Web Development.
U002,User_2,"Greetings! My name is User_2. With a background in Astrophysics, I've been with Uber for the past 10 years, predominantly working on Wearable Tech."
U003,User_3,"Hi there, I am User_3. I pursued my Masters in Economics from Yale. I have been a part of Twitter where I was involved in Quantitative Analysis projects."
U004,User_4,"Hey, I'm User_4. My academic journey includes a PhD in Linguistics from UC Berkeley. My professional path led me to Nikon, diving deep into Online Collaborations."
U005,User_5,Hello! I'm User_5. I graduated from Stanford with a major in Mechanical Engineering. I've led projects at Nvidia focusing on Optimization.
U006,User_6,"Greetings! My name is User_6. With a background in Astrophysics, I've been with Snapchat for the past 7 years, predominantly working on Wearable Tech."
U007,User_7,"Greetings! My name is User_7. With a background in Statistics, I've been with Airbnb for the past 2 years, predominantly working on Deep Learning."
U008,User_8,"Hi there, I am User_8. I pursued my Masters in Economics from Princeton. I have been a part of IBM where I was involved in IoT projects."
U009,User_9,Hello! I'm User_9. I graduated from Oxford with a major in Software Engineering. I've led projects at Nvidia focusing on Database Management.
U010,User_10,Hello! I'm User_10. I graduated from Stanford with a major in Physics. I've led projects at Salesforce focusing on Database Management.
U011,User_11,My name is User_11. I have a degree in Data Science. I've worked at Facebook for 2 years. My expertise is in Quantum Computing.
U012,User_12,"Hey, I'm User_12. My academic journey includes a PhD in Political Science from UC Berkeley. My professional path led me to Spotify, diving deep into Media Production."
U013,User_13,"Greetings! My name is User_13. With a background in Environmental Science, I've been with Lyft for the past 9 years, predominantly working on Deep Learning."
U014,User_14,Hello! I'm User_14. I graduated from Harvard with a major in Mechanical Engineering. I've led projects at Netflix focusing on Neural Networks.
U015,User_15,"Greetings! My name is User_15. With a background in Statistics, I've been with Snapchat for the past 3 years, predominantly working on Wearable Tech."
U016,User_16,My name is User_16. I have a degree in Chemistry. I've worked at Amazon for 3 years. My expertise is in Web Development.
